variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146636	2.47189721733702	2.49765211247592	0.120099425569704	superiorfrontal (8.31%, 100.00%)	precentral (7.32%, 99.99%)	superiorparietal (7.13%, 99.95%)
sex	1	2935	2.51753037182912	-0.0721372211609017	0.0158269830739833	parsopercularis (33.22%, 31.26%)	precentral (20.00%, 5.47%)	postcentral (17.92%, 5.53%)
sex	2	1895	2.49920901053577	0.103122283351217	0.0192562734762251	postcentral (100%, 19.91%)	NA	NA
sex	3	1248	2.51952572626854	-0.0814532378407864	0.0172139273378819	superiorfrontal (68.83%, 7.05%)	rostralanteriorcingulate (19.71%, 18.22%)	medialorbitofrontal (11.46%, 5.39%)
sex	4	756	2.54194603066142	-0.101496446069586	0.0233993636020435	inferiortemporal (69.84%, 11.96%)	middletemporal (30.16%, 5.12%)	NA
sex	5	735	2.44614106101723	0.0927265727753136	0.0200952398584408	inferiorparietal (100%, 9.34%)	NA	NA
sex	6	609	2.41667858839339	-0.056271696784373	0.0138078570757398	rostralmiddlefrontal (100%, 8.41%)	NA	NA
sex	7	579	2.42279406520302	-0.0560793702222008	0.0134553878917158	rostralmiddlefrontal (78.76%, 6.30%)	parstriangularis (12.95%, 3.67%)	parsopercularis (8.29%, 1.54%)
sex	8	669	2.55627277494008	0.117328782408583	0.0264844833295486	precentral (100%, 6.23%)	NA	NA
sex	9	752	2.41690280278419	-0.101787532555891	0.0223426821943808	isthmuscingulate (50.00%, 14.86%)	lingual (38.16%, 6.83%)	precuneus (11.84%, 1.22%)
sex	10	748	2.42424480830548	-0.0722466478134222	0.0159871580744073	posteriorcingulate (100%, 22.9%)	NA	NA
sex	11	601	2.45186064793806	-0.063352857460694	0.0156911691331526	superiortemporal (43.26%, 3.58%)	middletemporal (31.45%, 4.25%)	bankssts (25.29%, 7.11%)
sex	12	553	2.40754073217644	-0.0816072660075605	0.0169385445218324	medialorbitofrontal (79.57%, 16.58%)	lateralorbitofrontal (20.43%, 2.70%)	NA
sex	13	482	2.51112936414737	-0.145933431971246	0.0327612906501192	temporalpole (84.02%, 48.27%)	insula (11.41%, 1.05%)	entorhinal (4.56%, 2.00%)
sex	14	283	2.37397764336886	0.0650579598814565	0.0161520440572405	lateraloccipital (100%, 4.44%)	NA	NA
sex	15	449	2.4978472203417	0.0748538172872268	0.0193494102504843	superiorparietal (100%, 4.29%)	NA	NA
sex	16	459	2.46259588132925	-0.0717902609303366	0.0165260513607323	lateralorbitofrontal (93.9%, 10.29%)	insula (6.1%, 0.54%)	NA
