variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145307	2.46279486329752	2.51501718453603	0.0713475575829795	superiorfrontal (8.38%, 99.99%)	precentral (7.39%, 99.94%)	superiorparietal (7.19%, 99.89%)
smoking_trajectoriesE	1	1243	2.4397636217607	-0.0954780536595124	0.0252515815426195	superiorfrontal (97.26%, 9.93%)	rostralanteriorcingulate (2.74%, 2.52%)	NA
smoking_trajectoriesE	2	1273	2.44806287953136	-0.0986479971753924	0.0258230933888822	fusiform (74.78%, 20.20%)	parahippocampal (25.22%, 17.46%)	NA
smoking_trajectoriesE	3	655	2.45435775368049	-0.070224231504302	0.0183392715889193	inferiorparietal (79.24%, 6.59%)	superiorparietal (20.76%, 1.30%)	NA
smoking_trajectoriesE	4	507	2.44069945234802	-0.0827641893082704	0.0216913464087883	supramarginal (100%, 5.9%)	NA	NA
AGEPARENT.x	1	3760	2.4751886423498	-0.00424737162074381	0.00101851187799649	insula (38.30%, 27.54%)	superiortemporal (36.78%, 19.02%)	supramarginal (19.23%, 8.41%)
AGEPARENT.x	2	1625	2.40463419393008	-0.00463378550255528	0.00115137057694105	superiorfrontal (100%, 13.34%)	NA	NA
AGEPARENT.x	3	1344	2.49612884842469	-0.00367199755765753	0.000941282665388869	inferiorparietal (54.91%, 9.38%)	bankssts (28.79%, 18.11%)	supramarginal (16.29%, 2.55%)
AGEPARENT.x	4	1353	2.56367443746644	-0.00405542337244785	0.000943157087565115	superiortemporal (50.55%, 9.41%)	middletemporal (37.84%, 11.50%)	bankssts (11.60%, 7.35%)
AGEPARENT.x	5	587	2.45061852893216	0.00407567389231664	0.00109594649097008	lingual (87.22%, 12.18%)	lateraloccipital (10.39%, 0.96%)	pericalcarine (2.39%, 0.73%)
AGEPARENT.x	6	720	2.44514252310115	-0.00391883523229303	0.00103543423287596	superiorfrontal (88.89%, 5.25%)	rostralanteriorcingulate (9.44%, 5.04%)	caudalanteriorcingulate (1.67%, 0.83%)
AGEPARENT.x	7	872	2.49119809991912	-0.0040042533730413	0.0010449833332357	posteriorcingulate (55.28%, 14.76%)	caudalanteriorcingulate (31.65%, 19.18%)	superiorfrontal (13.07%, 0.94%)
sex	1	13079	2.47996814345866	-0.0621486107756618	0.0117419836834407	insula (19.36%, 48.42%)	superiortemporal (15.12%, 27.19%)	parsopercularis (13.77%, 57.74%)
sex	2	3878	2.39952239016653	-0.0468592220108501	0.00890724819183327	rostralmiddlefrontal (86.77%, 46.46%)	parsopercularis (9.00%, 11.19%)	parstriangularis (3.53%, 6.70%)
sex	3	4558	2.47240429515885	0.071966625172228	0.0114903727267632	postcentral (61.23%, 29.32%)	superiorparietal (38.77%, 16.90%)	NA
sex	4	3389	2.43584280867697	-0.0679643091730011	0.0110245733958823	medialorbitofrontal (47.18%, 60.27%)	superiorfrontal (31.37%, 8.73%)	rostralanteriorcingulate (14.07%, 35.33%)
sex	5	3484	2.48700773985201	0.0618471395236095	0.0127200424234382	inferiorparietal (66.36%, 29.37%)	supramarginal (29.08%, 11.78%)	lateraloccipital (4.56%, 2.49%)
