variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146434	2.45661877721303	2.49108195345493	0.120553366084061	superiorfrontal (8.11%, 100.00%)	precentral (7.30%, 99.91%)	superiorparietal (6.98%, 99.98%)
AGEPARENT.x	1	944	2.44727273553227	-0.00643605332164552	0.00166540167314667	insula (80.40%, 14.91%)	superiortemporal (10.49%, 1.44%)	transversetemporal (6.36%, 7.68%)
AGEPARENT.x	2	527	2.52654672080145	-0.00837313413860336	0.00212234618500992	superiortemporal (73.62%, 5.65%)	insula (26.38%, 2.73%)	NA
AGEPARENT.x	3	472	2.46526670958831	-0.00874078726609064	0.00222446455376546	lingual (52.12%, 6.32%)	isthmuscingulate (47.88%, 9.46%)	NA
sex	1	2045	2.45571697621638	0.0907580999989964	0.0185342041393036	postcentral (100%, 22.38%)	NA	NA
sex	2	1900	2.3857614199035	-0.0653952029837589	0.0145531561529558	parsopercularis (32.95%, 25.32%)	precentral (26.58%, 4.72%)	postcentral (23.79%, 4.95%)
sex	3	716	2.45151886620673	0.0986337123501151	0.0209156572688683	lateraloccipital (100%, 12.01%)	NA	NA
sex	4	1007	2.51808638020225	-0.0710083068105232	0.0172548902599287	superiorfrontal (62.36%, 5.29%)	rostralanteriorcingulate (37.64%, 36.06%)	NA
sex	5	874	2.44699208885604	-0.0984511361787739	0.0236033943974044	lingual (60.53%, 13.59%)	isthmuscingulate (38.22%, 13.99%)	parahippocampal (1.26%, 0.63%)
sex	6	700	2.35541611277941	-0.0696134636125394	0.0157200510427356	posteriorcingulate (99.71%, 23.31%)	isthmuscingulate (0.29%, 0.08%)	NA
sex	7	503	2.49403727012963	0.0985295104370203	0.0228235001451749	inferiorparietal (100%, 5.2%)	NA	NA
sex	8	574	2.46663412362954	-0.0683899956791035	0.015508519508308	precuneus (80.84%, 5.82%)	isthmuscingulate (19.16%, 4.61%)	NA
sex	9	493	2.46639256607928	-0.076337136320664	0.0161856064482254	medialorbitofrontal (72.01%, 12.67%)	lateralorbitofrontal (27.99%, 3.17%)	NA
sex	10	526	2.48828476865762	-0.064938470324636	0.0181733925026548	insula (66.54%, 6.88%)	superiortemporal (33.46%, 2.56%)	NA
sex	11	301	2.4248972432372	0.0650854455152421	0.0181614259796285	superiorparietal (100%, 2.94%)	NA	NA
sex	12	273	2.45490748927145	-0.14728905661748	0.0352951805533725	temporalpole (84.25%, 28.15%)	entorhinal (15.75%, 4.77%)	NA
