variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145428	2.45063493156886	2.49718871244218	0.0538608387552599	superiorfrontal (8.17%, 100.00%)	precentral (7.35%, 99.80%)	superiorparietal (7.02%, 99.91%)
smoking_trajectoriesD	1	444	2.40995165183611	-0.0599992401428051	0.0168312356517826	superiorfrontal (84.46%, 3.16%)	rostralmiddlefrontal (9.91%, 0.56%)	medialorbitofrontal (5.63%, 0.89%)
smoking_trajectoriesD	2	504	2.43201187992122	-0.0805472222171606	0.0200285080779669	paracentral (88.69%, 11.67%)	superiorfrontal (11.31%, 0.48%)	NA
smoking_trajectoriesE	1	756	2.53539226670286	-0.0781338577942243	0.0200012124503258	lateraloccipital (58.6%, 7.43%)	inferiorparietal (41.4%, 3.23%)	NA
smoking_trajectoriesE	2	899	2.3961472232271	-0.0891493070825056	0.0242247347542819	superiorfrontal (100%, 7.57%)	NA	NA
smoking_trajectoriesE	3	490	2.3795340995788	-0.0753661073516218	0.020584153357361	precentral (58.16%, 2.66%)	parsopercularis (38.78%, 7.69%)	postcentral (3.06%, 0.16%)
smoking_trajectoriesE	4	283	2.45845844870849	-0.0848869655294469	0.0226454536493065	superiorfrontal (96.11%, 2.29%)	medialorbitofrontal (3.89%, 0.39%)	NA
smoking_trajectoriesE	5	507	2.50432168719864	-0.0916443031567794	0.023651826498512	posteriorcingulate (53.25%, 9.02%)	superiorfrontal (46.75%, 2.00%)	NA
smoking_trajectoriesE	6	260	2.50284893358816	-0.0585457225974936	0.0168727154127107	rostralmiddlefrontal (100%, 3.31%)	NA	NA
AGEPARENT.x	1	2370	2.4432865142495	-0.00464266054273312	0.00111088989750003	superiorfrontal (100%, 19.95%)	NA	NA
AGEPARENT.x	2	3793	2.4606847101093	-0.00418942209180703	0.000925497455487306	insula (44.08%, 32.85%)	lateralorbitofrontal (11.44%, 9.97%)	superiortemporal (9.86%, 5.45%)
AGEPARENT.x	3	1362	2.42853903279464	0.0046562834833605	0.00112781674058721	lateraloccipital (36.49%, 8.33%)	pericalcarine (30.69%, 22.93%)	lingual (27.90%, 9.76%)
AGEPARENT.x	4	846	2.37866234443738	-0.00369999174140922	0.000828548970282184	superiortemporal (58.63%, 7.22%)	middletemporal (28.96%, 4.84%)	bankssts (12.41%, 4.78%)
AGEPARENT.x	5	535	2.40401706761834	-0.00306235272872532	0.000823182655198099	rostralmiddlefrontal (100%, 6.8%)	NA	NA
AGEPARENT.x	6	542	2.36228114782429	-0.00343691840522142	0.000925583037314937	parstriangularis (99.45%, 22.65%)	parsorbitalis (0.55%, 0.32%)	NA
AGEPARENT.x	7	623	2.4111322685267	-0.00430445149271819	0.0010923699600649	precentral (100%, 5.82%)	NA	NA
sex	1	7819	2.46471649926746	-0.0581254812336487	0.0111282442160754	insula (27.51%, 42.26%)	superiortemporal (21.60%, 24.59%)	supramarginal (14.23%, 13.66%)
sex	2	4338	2.42576271932869	0.0650607061590836	0.0105120170367268	postcentral (73.72%, 35.00%)	paracentral (19.66%, 22.27%)	precuneus (4.26%, 2.32%)
sex	3	1920	2.48007994762876	0.0587171765393577	0.0124178750139739	lateraloccipital (96.56%, 31.09%)	superiorparietal (1.82%, 0.34%)	cuneus (1.61%, 1.89%)
sex	4	3134	2.42641854338584	0.0661757952458182	0.012912034362866	precentral (87.68%, 25.67%)	superiorfrontal (12.16%, 3.21%)	caudalmiddlefrontal (0.16%, 0.14%)
sex	5	2560	2.51208271117402	0.0616892565019953	0.0123247339917725	inferiorparietal (86.84%, 22.97%)	supramarginal (7.66%, 2.40%)	lateraloccipital (5.51%, 2.36%)
sex	6	1361	2.43496681555013	-0.0619686982805877	0.0138684522790299	middletemporal (52.90%, 14.24%)	inferiortemporal (46.95%, 15.22%)	fusiform (0.15%, 0.04%)
sex	7	1734	2.43291374947404	-0.0564067997897716	0.0107020939423164	superiorfrontal (64.65%, 9.44%)	rostralanteriorcingulate (26.36%, 43.48%)	medialorbitofrontal (6.63%, 4.11%)
sex	8	1292	2.44576700811902	0.0455010770128077	0.0114673540405583	superiorparietal (100%, 12.64%)	NA	NA
sex	9	877	2.50882348675361	0.0586190960936019	0.0138203926743385	inferiortemporal (68.99%, 14.41%)	middletemporal (31.01%, 5.38%)	NA
sex	10	1215	2.45474907496654	-0.0741222113861469	0.0137864315721356	lingual (70.62%, 22.03%)	isthmuscingulate (23.54%, 11.98%)	parahippocampal (4.20%, 2.93%)
sex	11	1460	2.45915305097745	-0.0488054982080341	0.00941835351683812	posteriorcingulate (71.71%, 34.97%)	paracentral (27.74%, 10.57%)	isthmuscingulate (0.27%, 0.17%)
sex	12	1201	2.42634162307605	-0.0602892030520577	0.00996288637685699	medialorbitofrontal (65.28%, 27.99%)	lateralorbitofrontal (34.72%, 9.58%)	NA
sex	13	992	2.40860978957434	-0.0465394908885261	0.00925084613329325	precuneus (76.71%, 9.54%)	isthmuscingulate (23.29%, 9.67%)	NA
sex	14	577	2.39049991194925	0.0514111664385068	0.0108469671326039	parsorbitalis (87.52%, 53.38%)	rostralmiddlefrontal (10.23%, 0.75%)	parstriangularis (2.25%, 0.55%)
sex	15	558	2.37805686170502	0.0442651453458013	0.0106369776594516	superiorparietal (100%, 5.46%)	NA	NA
sex	16	474	2.44308341889575	0.0421601526109101	0.0103254725091662	superiorfrontal (90.51%, 3.61%)	frontalpole (9.49%, 12.20%)	NA
sex	17	455	2.50936086963037	-0.0360676783699911	0.00781528104485555	rostralmiddlefrontal (100%, 5.79%)	NA	NA
sex	18	566	2.41294663288507	0.0814569233242067	0.0163208168417926	parahippocampal (65.90%, 21.41%)	entorhinal (17.84%, 11.20%)	fusiform (16.25%, 1.97%)
sex	19	767	2.49735367359795	0.0553765914984523	0.0132823195332732	postcentral (77.71%, 6.52%)	supramarginal (22.29%, 2.10%)	NA
sex	20	363	2.4009246688163	-0.0378708675319006	0.00889034706011374	rostralmiddlefrontal (100%, 4.62%)	NA	NA
sex	21	316	2.54568949332656	-0.0521836994050802	0.0118682439279849	fusiform (100%, 6.78%)	NA	NA
sex	22	180	2.47484226049229	0.0508739511792858	0.0134504792280495	lingual (100%, 4.62%)	NA	NA
