variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146467	2.46220499691053	2.50204494643568	0.102441136705262	superiorfrontal (8.32%, 100.00%)	precentral (7.33%, 99.99%)	superiorparietal (7.14%, 99.95%)
AGEPARENT.x	1	434	2.35737983272482	-0.00465294774750479	0.00126522916534375	supramarginal (100%, 5.05%)	NA	NA
sex	1	3116	2.46595293586425	-0.0666983613734814	0.0138065172350381	parsopercularis (36.97%, 36.93%)	precentral (22.72%, 6.59%)	parstriangularis (16.01%, 24.39%)
sex	2	2326	2.49823293776139	0.0928587630416746	0.0163075818034787	postcentral (98.67%, 24.11%)	superiorparietal (1.33%, 0.30%)	NA
sex	3	1430	2.53202245969635	-0.0759790064962385	0.0150723731353671	superiorfrontal (63.22%, 7.42%)	rostralanteriorcingulate (20.21%, 21.41%)	medialorbitofrontal (16.57%, 8.93%)
sex	4	1257	2.38164772598315	0.0775649722787057	0.0179216489595914	inferiorparietal (92.2%, 14.72%)	supramarginal (7.8%, 1.14%)	NA
sex	5	859	2.43138810780409	-0.0504972042995088	0.012099071232357	rostralmiddlefrontal (79.39%, 9.42%)	parsopercularis (12.57%, 3.46%)	parstriangularis (8.03%, 3.37%)
sex	6	690	2.51900598142937	-0.087088351448377	0.0201918094675394	inferiortemporal (70.58%, 11.03%)	middletemporal (29.42%, 4.56%)	NA
sex	7	707	2.40478903711597	-0.0521995920840719	0.0121843400707698	rostralmiddlefrontal (100%, 9.76%)	NA	NA
sex	8	980	2.42952434771908	0.100360123816954	0.021327381202837	precentral (100%, 9.12%)	NA	NA
sex	9	544	2.44479903236588	0.0618374311529538	0.0143802647105665	lateraloccipital (98.9%, 8.43%)	inferiorparietal (1.1%, 0.08%)	NA
sex	10	888	2.4445779828575	-0.0674454651076582	0.0140332825595161	posteriorcingulate (100%, 27.19%)	NA	NA
sex	11	678	2.39894210112354	-0.0763684054699268	0.0143801352932258	medialorbitofrontal (78.61%, 20.09%)	lateralorbitofrontal (21.39%, 3.46%)	NA
sex	12	763	2.48631317323499	-0.0978093923876357	0.0194055538961412	isthmuscingulate (47.05%, 14.18%)	lingual (38.27%, 6.94%)	precuneus (14.68%, 1.53%)
sex	13	606	2.49280267214384	0.067401090575376	0.0166897721044572	superiorparietal (100%, 5.8%)	NA	NA
sex	14	607	2.37938216920631	-0.12858920932258	0.0289738385353538	temporalpole (73.64%, 53.28%)	insula (17.46%, 2.03%)	entorhinal (4.45%, 2.45%)
sex	15	304	2.46202894967819	0.0713298048235868	0.0174530380080748	lateraloccipital (100%, 4.77%)	NA	NA
sex	16	627	2.45279127912449	-0.0560528159355433	0.0138325446672987	superiortemporal (46.41%, 4.00%)	bankssts (29.51%, 8.66%)	middletemporal (24.08%, 3.39%)
sex	17	609	2.35756032901656	-0.0648579971164416	0.0146924006540102	lateralorbitofrontal (85.39%, 12.42%)	parstriangularis (9.69%, 2.88%)	insula (2.79%, 0.33%)
sex	18	416	2.54123419164582	-0.0776299773088585	0.0196957816011631	superiortemporal (100%, 5.72%)	NA	NA
sex	19	261	2.4217504217387	-0.0500910832221937	0.012986298486362	rostralmiddlefrontal (100%, 3.6%)	NA	NA
ethnicity_group	1	512	2.39943899505206	-0.0820584542234428	0.0207030288001988	lateraloccipital (57.81%, 4.64%)	superiorparietal (42.19%, 2.07%)	NA
