variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146306	2.44935510472169	2.49313053332576	0.102957917314715	superiorfrontal (8.12%, 100.00%)	precentral (7.31%, 99.88%)	superiorparietal (6.99%, 99.98%)
AGEPARENT.x	1	1162	2.48008895067382	-0.00561115984695125	0.00142927601430148	insula (65.92%, 15.05%)	transversetemporal (16.18%, 24.07%)	superiortemporal (13.86%, 2.34%)
AGEPARENT.x	2	544	2.4400124385515	-0.00742935516994775	0.00191186340003589	isthmuscingulate (60.29%, 13.74%)	lingual (39.71%, 5.55%)	NA
AGEPARENT.x	3	435	2.51070283484224	-0.00755796743792364	0.00186443024277473	superiortemporal (70.8%, 4.48%)	insula (29.2%, 2.50%)	NA
sex	1	2603	2.4533207297198	0.0906036964578671	0.0156756102150758	postcentral (98.92%, 28.18%)	superiorparietal (0.96%, 0.24%)	supramarginal (0.12%, 0.04%)
sex	2	2280	2.41438932074397	-0.0594439665786922	0.0129814050233874	parsopercularis (28.90%, 26.66%)	precentral (27.50%, 5.86%)	postcentral (20.26%, 5.06%)
sex	3	1038	2.43282562706993	0.0913966162191248	0.0180328240723983	lateraloccipital (100%, 17.41%)	NA	NA
sex	4	1101	2.50344354254441	-0.0642592539938064	0.0152567217886096	superiorfrontal (67.48%, 6.26%)	rostralanteriorcingulate (32.52%, 34.06%)	NA
sex	5	882	2.40554873725984	0.0843362750954369	0.0194442572426938	inferiorparietal (100%, 9.12%)	NA	NA
sex	6	875	2.41889759832802	-0.118602394998074	0.0278360391642366	temporalpole (45.49%, 48.71%)	insula (28.69%, 4.93%)	superiortemporal (17.60%, 2.24%)
sex	7	997	2.45896968635071	-0.0916088501863936	0.0213443015121977	lingual (47.54%, 12.17%)	isthmuscingulate (42.13%, 17.59%)	parahippocampal (9.53%, 5.45%)
sex	8	775	2.52578901004973	0.0850050449130997	0.021667817939193	precentral (100%, 7.24%)	NA	NA
sex	9	651	2.58033784027958	0.0689026370656014	0.0181984725149317	precentral (58.53%, 3.56%)	superiorfrontal (41.47%, 2.27%)	NA
sex	10	660	2.35995007135233	-0.0649813201617111	0.013869150544545	posteriorcingulate (98.79%, 21.78%)	isthmuscingulate (1.21%, 0.34%)	NA
sex	11	552	2.38797425860589	-0.0606433088702244	0.0137983554285829	precuneus (82.97%, 5.74%)	isthmuscingulate (17.03%, 3.94%)	NA
sex	12	592	2.47815320550988	-0.0736417161502145	0.0145394413628162	medialorbitofrontal (69.93%, 14.78%)	lateralorbitofrontal (30.07%, 4.09%)	NA
sex	13	304	2.51526274816289	0.054123908416123	0.0146703663355622	superiorfrontal (89.8%, 2.3%)	frontalpole (10.2%, 8.4%)	NA
sex	14	314	2.44523565687052	-0.0837032737293441	0.021776052529977	inferiortemporal (80.89%, 6.05%)	middletemporal (19.11%, 1.19%)	NA
sex	15	272	2.4001028319253	0.0765538856880191	0.0206349773181821	inferiortemporal (91.18%, 5.91%)	middletemporal (8.82%, 0.47%)	NA
sex	16	574	2.46084014545006	-0.0615456651584716	0.0169214657994591	insula (64.81%, 7.31%)	superiortemporal (35.19%, 2.94%)	NA
sex	17	342	2.45366178885056	0.0586021005323059	0.0158459429264243	superiorparietal (100%, 3.35%)	NA	NA
sex	18	283	2.42007811929935	0.0605767776682815	0.0152973881807481	superiorparietal (100%, 2.77%)	NA	NA
sex	19	248	2.52239119266571	0.0635823623968228	0.0175286051291492	caudalmiddlefrontal (100%, 7.1%)	NA	NA
sex	20	471	2.51440453095082	0.0807244514931792	0.0197347285751957	postcentral (98.09%, 5.06%)	supramarginal (1.91%, 0.11%)	NA
ethnicity_group	1	1038	2.42871435467015	-0.0849318230678982	0.021320515979792	lateraloccipital (97.59%, 16.99%)	superiorparietal (2.41%, 0.24%)	NA
ethnicity_group	2	430	2.40531060240618	-0.0754808019586774	0.0209274182659249	superiortemporal (68.84%, 4.31%)	transversetemporal (31.16%, 17.16%)	NA
ethnicity_group	3	427	2.42368837939193	-0.0927620347615427	0.0251312728892724	lingual (85.71%, 9.40%)	precuneus (14.29%, 0.76%)	NA
