variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145307	2.46279486329752	2.51581593356074	0.0534019418714481	superiorfrontal (8.38%, 99.99%)	precentral (7.39%, 99.94%)	superiorparietal (7.19%, 99.89%)
year14_smokingstatus3	1	3806	2.44536026158232	-0.0666998602279584	0.0168001328110969	superiorfrontal (98.29%, 30.72%)	rostralanteriorcingulate (0.89%, 2.52%)	rostralmiddlefrontal (0.81%, 0.43%)
year14_smokingstatus3	2	590	2.45310976374496	-0.0461080929295997	0.0130119503033742	superiorfrontal (81.69%, 3.96%)	caudalmiddlefrontal (14.41%, 2.28%)	precentral (3.90%, 0.21%)
year14_smokingstatus3	3	376	2.44917916210838	-0.0710576348442664	0.0191853311695555	inferiortemporal (73.67%, 6.27%)	middletemporal (26.33%, 2.22%)	NA
year14_smokingstatus3	4	584	2.4467152423544	-0.0526697588701771	0.0143267985446098	supramarginal (96.4%, 6.55%)	superiortemporal (3.6%, 0.29%)	NA
year14_smokingstatus3	5	337	2.42657211947784	-0.0551208159734304	0.0144799938674143	fusiform (100%, 7.15%)	NA	NA
year14_smokingstatus3	6	333	2.4434795825151	-0.0601672940068059	0.0146309328251504	rostralmiddlefrontal (100%, 4.6%)	NA	NA
year14_smokingstatus3	7	459	2.47804099387342	-0.0443394520606091	0.0118340299949699	superiorparietal (72.33%, 3.18%)	inferiorparietal (27.67%, 1.61%)	NA
year14_smokingstatus3	8	517	2.45288088398639	-0.0569999207178675	0.014789034327856	paracentral (100%, 15.7%)	NA	NA
AGEPARENT.x	1	4211	2.42378830460785	-0.00430781333854347	0.00105917118068977	superiorfrontal (73.28%, 25.34%)	posteriorcingulate (15.32%, 19.75%)	caudalanteriorcingulate (9.67%, 28.28%)
AGEPARENT.x	2	2248	2.45310640249079	-0.00370310964069024	0.000901704222045497	insula (52.40%, 22.53%)	supramarginal (23.71%, 6.20%)	superiortemporal (17.53%, 5.42%)
AGEPARENT.x	3	1379	2.48209427555968	-0.00354202293930677	0.000917072750478064	inferiorparietal (60.77%, 10.65%)	bankssts (24.15%, 15.58%)	supramarginal (15.08%, 2.42%)
AGEPARENT.x	4	1236	2.56789043411339	-0.00389939379478235	0.000904136200344663	superiortemporal (51.62%, 8.77%)	middletemporal (37.14%, 10.31%)	bankssts (11.25%, 6.50%)
AGEPARENT.x	5	539	2.44982933287151	0.00390555461089374	0.00106577978621484	lingual (90.91%, 11.65%)	lateraloccipital (7.79%, 0.66%)	pericalcarine (1.30%, 0.37%)
AGEPARENT.x	6	721	2.53484779435546	-0.00489587595185133	0.00123402175584604	superiortemporal (74.76%, 7.41%)	insula (25.24%, 3.48%)	NA
AGEPARENT.x	7	380	2.4893537712286	0.00324668914238971	0.000783902969775035	postcentral (85.53%, 3.41%)	precentral (14.47%, 0.51%)	NA
sex	1	18851	2.45653723815102	-0.0593857592439417	0.010535891802765	rostralmiddlefrontal (20.10%, 52.31%)	insula (13.98%, 50.39%)	parsopercularis (11.95%, 72.23%)
sex	2	5811	2.48170235931594	0.0565492790875111	0.0113812606430572	inferiorparietal (46.12%, 34.05%)	lateraloccipital (35.04%, 31.92%)	supramarginal (17.50%, 11.83%)
sex	3	5016	2.47859844047043	0.0635596796149088	0.0124987383285631	precentral (49.52%, 23.13%)	superiorfrontal (29.92%, 12.32%)	paracentral (20.55%, 31.30%)
sex	4	4786	2.47032475642082	0.067509791536301	0.0107900413550861	postcentral (60.82%, 30.58%)	superiorparietal (39.18%, 17.93%)	NA
sex	5	3435	2.43432462656201	-0.0650695383326412	0.0104169167324716	medialorbitofrontal (47.39%, 61.36%)	superiorfrontal (31.41%, 8.86%)	rostralanteriorcingulate (13.80%, 35.11%)
sex	6	2197	2.51654252614387	-0.0400434919388377	0.00941240328076242	middletemporal (44.97%, 22.19%)	bankssts (32.50%, 33.41%)	superiortemporal (22.53%, 6.81%)
sex	7	686	2.56677630911282	-0.0463209090857568	0.0102188683715011	pericalcarine (72.74%, 26.10%)	lingual (22.45%, 3.66%)	lateraloccipital (3.21%, 0.34%)
