variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145428	2.45063493156886	2.50522412308851	0.0717134391795734	superiorfrontal (8.17%, 100.00%)	precentral (7.35%, 99.80%)	superiorparietal (7.02%, 99.91%)
year14_smokingstatus3	1	1829	2.42425385101049	-0.0666627756306192	0.0171066392824143	superiorfrontal (100%, 15.4%)	NA	NA
year14_smokingstatus3	2	1304	2.41562872719147	-0.0556855766485485	0.0143534419751023	superiorfrontal (48.31%, 5.30%)	rostralmiddlefrontal (47.09%, 7.81%)	medialorbitofrontal (4.14%, 1.93%)
year14_smokingstatus3	3	1239	2.52385662903079	-0.100568119475589	0.0257355156080246	superiortemporal (71.67%, 12.93%)	temporalpole (28.25%, 42.84%)	insula (0.08%, 0.02%)
year14_smokingstatus3	4	1143	2.42326876926471	-0.0717190551267626	0.017600836632374	paracentral (60.72%, 18.12%)	superiorfrontal (34.65%, 3.33%)	posteriorcingulate (4.64%, 1.77%)
year14_smokingstatus3	5	513	2.38823793033749	-0.0455810776957062	0.0119250065176866	precentral (62.18%, 2.98%)	insula (19.69%, 1.98%)	postcentral (12.09%, 0.68%)
year14_smokingstatus3	6	400	2.45459203028244	-0.0482685804180801	0.0120442380011082	caudalmiddlefrontal (94.0%, 10.76%)	rostralmiddlefrontal (4.5%, 0.23%)	parsopercularis (1.5%, 0.24%)
year14_smokingstatus3	7	276	2.55502639925267	-0.0512191941016826	0.0131528532652157	inferiorparietal (78.99%, 2.25%)	lateraloccipital (21.01%, 0.97%)	NA
AGEPARENT.x	1	4236	2.4640635867573	-0.00434373414177558	0.00100288111743442	insula (41.08%, 34.18%)	superiortemporal (19.22%, 11.85%)	lateralorbitofrontal (9.11%, 8.87%)
AGEPARENT.x	2	1328	2.43239252826116	0.00481192652449567	0.00115704558634042	lateraloccipital (33.96%, 7.56%)	pericalcarine (31.02%, 22.60%)	lingual (30.42%, 10.37%)
AGEPARENT.x	3	1922	2.45107534070429	-0.00476015152571515	0.00115548738297346	superiorfrontal (100%, 16.18%)	NA	NA
AGEPARENT.x	4	962	2.38447858632203	-0.00377465596712018	0.000857408359787657	superiortemporal (57.28%, 8.02%)	middletemporal (31.19%, 5.93%)	bankssts (11.54%, 5.05%)
AGEPARENT.x	5	593	2.41469847273345	-0.0051130030895497	0.00124875053804223	lingual (74.03%, 11.27%)	isthmuscingulate (25.97%, 6.45%)	NA
AGEPARENT.x	6	409	2.41251520329697	-0.00314710243413803	0.000871562294936386	rostralmiddlefrontal (100%, 5.2%)	NA	NA
AGEPARENT.x	7	455	2.41501680951951	-0.00430586946063808	0.00111411757905364	precentral (100%, 4.25%)	NA	NA
AGEPARENT.x	8	361	2.36302254821768	-0.00343342279625793	0.00095650197088672	parstriangularis (100%, 15.17%)	NA	NA
sex	1	5622	2.49627182037249	0.061029966773511	0.0121999105519099	lateraloccipital (45.91%, 43.28%)	inferiorparietal (44.33%, 25.75%)	supramarginal (5.10%, 3.52%)
sex	2	6465	2.45612356644115	-0.0584838979217034	0.0114362406558793	insula (29.40%, 37.35%)	superiortemporal (22.86%, 21.52%)	parsopercularis (11.66%, 30.50%)
sex	3	4493	2.42015987044274	0.0683900272440942	0.0105701388663517	postcentral (74.87%, 36.81%)	paracentral (17.38%, 20.39%)	precuneus (4.79%, 2.70%)
sex	4	3065	2.42628036825599	0.0671946380129403	0.0130298274008597	precentral (88.61%, 25.37%)	superiorfrontal (11.39%, 2.94%)	NA
sex	5	1763	2.42443670205387	-0.0563284297808117	0.0107499449574603	superiorfrontal (64.49%, 9.57%)	rostralanteriorcingulate (26.49%, 44.43%)	medialorbitofrontal (6.81%, 4.28%)
sex	6	1279	2.50751011252446	0.0576266456159462	0.0136935435748128	inferiortemporal (75.53%, 23.01%)	middletemporal (24.39%, 6.17%)	fusiform (0.08%, 0.02%)
sex	7	1132	2.44529694498195	-0.0612535611594708	0.0144432229779713	inferiortemporal (50.09%, 13.51%)	middletemporal (49.91%, 11.17%)	NA
sex	8	1558	2.45063360591241	0.0475379799603842	0.0112939493459278	superiorparietal (100%, 15.24%)	NA	NA
sex	9	1487	2.4536045063184	-0.0498598777910127	0.00950167892173824	posteriorcingulate (72.23%, 35.87%)	paracentral (27.17%, 10.55%)	caudalanteriorcingulate (0.40%, 0.37%)
sex	10	1122	2.42814795443079	-0.0580184959711876	0.00981382383100038	medialorbitofrontal (63.64%, 25.49%)	lateralorbitofrontal (36.36%, 9.37%)	NA
sex	11	562	2.38640937823066	0.0509956995575453	0.0109630519428102	parsorbitalis (88.79%, 52.75%)	rostralmiddlefrontal (10.50%, 0.75%)	parstriangularis (0.71%, 0.17%)
sex	12	915	2.42250771236169	-0.0736133484118949	0.0139914112572706	lingual (63.50%, 14.92%)	isthmuscingulate (30.60%, 11.73%)	parahippocampal (4.59%, 2.41%)
sex	13	584	2.38397656724514	0.0446725515042725	0.0108325976451017	superiorparietal (100%, 5.71%)	NA	NA
sex	14	412	2.50634871020542	0.0509866348024711	0.01286295906514	lingual (95.15%, 10.07%)	fusiform (4.85%, 0.43%)	NA
sex	15	452	2.43912207032972	0.0418336652301713	0.0103747703699576	superiorfrontal (92.48%, 3.52%)	frontalpole (7.52%, 9.21%)	NA
sex	16	884	2.49502033055867	0.0565428090033151	0.013446935247082	postcentral (79.86%, 7.73%)	supramarginal (20.14%, 2.18%)	NA
sex	17	575	2.41547486712354	0.0792334461924822	0.0161893951941444	parahippocampal (69.57%, 22.96%)	entorhinal (15.48%, 9.87%)	fusiform (14.96%, 1.85%)
sex	18	625	2.40533567906721	-0.0483134918689728	0.00945374512225389	precuneus (81.12%, 6.36%)	isthmuscingulate (18.88%, 4.94%)	NA
sex	19	412	2.51586934968516	-0.0353637257075498	0.00783790926589151	rostralmiddlefrontal (100%, 5.24%)	NA	NA
