variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146434	2.45661877721303	2.505688416381	0.0903128775011865	superiorfrontal (8.11%, 100.00%)	precentral (7.30%, 99.91%)	superiorparietal (6.98%, 99.98%)
AGEPARENT.x	1	884	2.4522943645538	-0.00650718042888253	0.00162910571233875	insula (91.06%, 15.82%)	transversetemporal (4.19%, 4.74%)	precentral (3.62%, 0.30%)
AGEPARENT.x	2	416	2.50412295355708	-0.00768239548331342	0.00197730178591043	superiortemporal (88.46%, 5.36%)	insula (11.54%, 0.94%)	NA
sex	1	2111	2.45874492994546	0.0885905125577661	0.0178617774572864	postcentral (99.91%, 23.08%)	superiorparietal (0.09%, 0.02%)	NA
sex	2	2330	2.39044253298777	-0.0667631032544912	0.0143458941092019	parsopercularis (28.76%, 27.10%)	precentral (24.85%, 5.41%)	postcentral (20.64%, 5.26%)
sex	3	748	2.44804341085901	0.0963828893736961	0.0202791206986907	lateraloccipital (100%, 12.54%)	NA	NA
sex	4	1119	2.51676395859282	-0.0712471088599264	0.0167519461822973	superiorfrontal (62.56%, 5.89%)	rostralanteriorcingulate (37.44%, 39.87%)	NA
sex	5	828	2.45314109599468	-0.0938253642604259	0.022830538858844	lingual (59.30%, 12.61%)	isthmuscingulate (39.73%, 13.78%)	parahippocampal (0.97%, 0.46%)
sex	6	739	2.35273368955885	-0.0677037393833046	0.0152609473653894	posteriorcingulate (99.46%, 24.55%)	isthmuscingulate (0.54%, 0.17%)	NA
sex	7	480	2.50234861070994	0.0939562811361005	0.0220390619438452	inferiorparietal (100%, 4.96%)	NA	NA
sex	8	555	2.46570550417882	-0.0668938706989761	0.0151516066880913	precuneus (78.56%, 5.47%)	isthmuscingulate (21.44%, 4.98%)	NA
sex	9	680	2.48388831893384	-0.0656557190231979	0.0177957685089068	insula (68.24%, 9.12%)	superiortemporal (31.76%, 3.15%)	NA
sex	10	484	2.47777281251581	-0.0773334506483487	0.0161078047018868	medialorbitofrontal (71.07%, 12.28%)	lateralorbitofrontal (28.93%, 3.22%)	NA
sex	11	330	2.47075820810143	-0.152316956447833	0.0346358855339614	temporalpole (81.21%, 32.80%)	entorhinal (18.79%, 6.87%)	NA
sex	12	379	2.49843069290419	0.081110883081494	0.0213766164271687	precentral (100%, 3.54%)	NA	NA
sex	13	430	2.45153707175222	0.0844473107263099	0.0227700609453889	postcentral (88.14%, 4.15%)	supramarginal (11.86%, 0.63%)	NA
