variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146306	2.44935510472169	2.49185382605117	0.0765433323949124	superiorfrontal (8.12%, 100.00%)	precentral (7.31%, 99.88%)	superiorparietal (6.99%, 99.98%)
AGEPARENT.x	1	1059	2.48836132185566	-0.00535534771213816	0.00136590971390702	insula (75.35%, 15.68%)	superiortemporal (11.71%, 1.81%)	transversetemporal (8.31%, 11.27%)
sex	1	2690	2.44974769149473	0.0879333248244231	0.0151672798793998	postcentral (98.96%, 29.13%)	superiorparietal (0.93%, 0.24%)	supramarginal (0.11%, 0.04%)
sex	2	2509	2.41608766350163	-0.0602953234689675	0.0126984633598885	parsopercularis (27.26%, 27.67%)	precentral (25.07%, 5.88%)	postcentral (18.89%, 5.19%)
sex	3	1953	2.52100510371631	0.0737783604697789	0.019118763566021	precentral (80.54%, 14.69%)	superiorfrontal (19.46%, 3.20%)	NA
sex	4	1054	2.43461402289252	0.0891344703528924	0.0175633257832838	lateraloccipital (100%, 17.68%)	NA	NA
sex	5	1155	2.50737086853529	-0.0637350682443355	0.0147789338901962	superiorfrontal (69.87%, 6.79%)	rostralanteriorcingulate (30.13%, 33.11%)	NA
sex	6	812	2.40282268077086	0.0806106059201833	0.0188429956106478	inferiorparietal (100%, 8.39%)	NA	NA
sex	7	994	2.43066946600106	-0.117656330576155	0.0266823395412093	temporalpole (40.14%, 48.84%)	insula (30.28%, 5.91%)	superiortemporal (19.52%, 2.82%)
sex	8	982	2.4635031198944	-0.0888205325371318	0.0207019397958567	lingual (47.86%, 12.07%)	isthmuscingulate (42.46%, 17.46%)	parahippocampal (9.67%, 5.45%)
sex	9	663	2.35753416866983	-0.0630261691773189	0.0134599196919848	posteriorcingulate (98.34%, 21.78%)	isthmuscingulate (1.66%, 0.46%)	NA
sex	10	406	2.4348025127688	-0.0836898041659682	0.0213174997264602	inferiortemporal (72.66%, 7.03%)	middletemporal (27.34%, 2.19%)	NA
sex	11	610	2.46953831507291	-0.0753140696614492	0.0145933704893486	medialorbitofrontal (70.98%, 15.46%)	lateralorbitofrontal (29.02%, 4.07%)	NA
sex	12	711	2.45653319572728	-0.0619659048417366	0.0164876570846524	insula (67.51%, 9.43%)	superiortemporal (32.49%, 3.36%)	NA
sex	13	638	2.50057649992028	0.0797396430447931	0.0189825271819733	postcentral (85.89%, 6.0%)	supramarginal (14.11%, 1.1%)	NA
sex	14	494	2.37968809478338	-0.0582234460845409	0.0134346789966982	precuneus (81.17%, 5.03%)	isthmuscingulate (18.83%, 3.89%)	NA
sex	15	303	2.42274138644569	0.0716184222880173	0.0193396783541433	inferiortemporal (85.15%, 6.15%)	middletemporal (14.85%, 0.89%)	NA
sex	16	299	2.51766364938865	0.052573407286884	0.0142269404573883	superiorfrontal (92.98%, 2.34%)	frontalpole (7.02%, 5.69%)	NA
sex	17	347	2.44344522997081	0.0560013744389633	0.0156638653498003	superiorparietal (100%, 3.39%)	NA	NA
sex	18	275	2.41356852619234	0.0572838269309564	0.0160883935845711	inferiorparietal (88.36%, 2.51%)	lateraloccipital (11.64%, 0.54%)	NA
sex	19	256	2.53993634669105	0.0636669543164317	0.017106379596953	caudalmiddlefrontal (100%, 7.33%)	NA	NA
sex	20	266	2.41534172348579	0.0580935331159516	0.0147688658207767	superiorparietal (100%, 2.6%)	NA	NA
sex	21	227	2.41650917917335	0.0583700345673225	0.0148294184045119	parsorbitalis (100%, 24%)	NA	NA
