variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145428	2.45063493156886	2.50597776346865	0.0718426074890109	superiorfrontal (8.17%, 100.00%)	precentral (7.35%, 99.80%)	superiorparietal (7.02%, 99.91%)
smoking_trajectoriesD	1	479	2.4099216223783	-0.0607636983201125	0.0169020136371099	superiorfrontal (83.51%, 3.37%)	rostralmiddlefrontal (10.23%, 0.62%)	medialorbitofrontal (6.26%, 1.07%)
smoking_trajectoriesD	2	483	2.43234384279298	-0.0810460917898463	0.0203670713757444	paracentral (86.75%, 10.94%)	superiorfrontal (13.25%, 0.54%)	NA
smoking_trajectoriesE	1	1044	2.40322945355947	-0.0927224033494334	0.024714973469718	superiorfrontal (100%, 8.79%)	NA	NA
smoking_trajectoriesE	2	626	2.55186421816396	-0.0756227878716807	0.0198692265041053	lateraloccipital (51.6%, 5.42%)	inferiorparietal (48.4%, 3.13%)	NA
smoking_trajectoriesE	3	612	2.37292204866715	-0.0774875998107436	0.0215270870450421	precentral (50.33%, 2.88%)	parsopercularis (44.44%, 11.00%)	postcentral (5.23%, 0.35%)
smoking_trajectoriesE	4	321	2.460563019103	-0.0886342171753678	0.0230311112147625	superiorfrontal (94.7%, 2.56%)	medialorbitofrontal (5.3%, 0.61%)	NA
smoking_trajectoriesE	5	490	2.42862877272756	-0.0816778446946825	0.0229601093472875	precuneus (41.63%, 2.56%)	posteriorcingulate (36.33%, 5.95%)	isthmuscingulate (22.04%, 4.52%)
smoking_trajectoriesE	6	470	2.49911874686611	-0.095890051808129	0.0242122604531494	posteriorcingulate (50.21%, 7.88%)	superiorfrontal (49.79%, 1.97%)	NA
AGEPARENT.x	1	4314	2.46110736073776	-0.00436764352719179	0.00100269808264103	insula (40.70%, 34.50%)	superiortemporal (19.47%, 12.23%)	lateralorbitofrontal (9.06%, 8.98%)
AGEPARENT.x	2	1333	2.43211750037439	0.00481047418208853	0.00115834157466777	lateraloccipital (33.53%, 7.50%)	pericalcarine (30.83%, 22.55%)	lingual (30.68%, 10.50%)
AGEPARENT.x	3	1918	2.45111110551117	-0.00475811327509465	0.00115708784255849	superiorfrontal (100%, 16.15%)	NA	NA
AGEPARENT.x	4	953	2.38447674402562	-0.00375861474136936	0.000858267228735234	superiortemporal (57.61%, 7.99%)	middletemporal (30.75%, 5.79%)	bankssts (11.65%, 5.05%)
AGEPARENT.x	5	589	2.41428184852189	-0.00514763410650636	0.00124747390227933	lingual (74.36%, 11.25%)	isthmuscingulate (25.64%, 6.32%)	NA
AGEPARENT.x	6	414	2.41029439693085	-0.00315289765906831	0.000871529243380317	rostralmiddlefrontal (100%, 5.26%)	NA	NA
AGEPARENT.x	7	488	2.41900374675319	-0.0043833209817168	0.00112225012887139	precentral (100%, 4.56%)	NA	NA
AGEPARENT.x	8	391	2.36552013852265	-0.00347484273674048	0.000957762735122886	parstriangularis (100%, 16.43%)	NA	NA
sex	1	6510	2.45570559294333	-0.0597265696333301	0.011665565570453	insula (31.31%, 40.04%)	superiortemporal (22.63%, 21.45%)	parsopercularis (11.81%, 31.11%)
sex	2	2389	2.47900018204447	0.0599079552715096	0.01253588893558	lateraloccipital (90.79%, 36.37%)	superiorparietal (4.14%, 0.97%)	cuneus (4.06%, 5.92%)
sex	3	2801	2.51180536847947	0.0635063060968636	0.0127066671798423	inferiorparietal (84.90%, 24.58%)	supramarginal (9.28%, 3.19%)	lateraloccipital (5.82%, 2.73%)
sex	4	3194	2.45166898894553	0.0774523509647662	0.0109314052863356	postcentral (97.03%, 33.91%)	superiorparietal (2.97%, 0.93%)	NA
sex	5	2644	2.4252032058136	0.0699427673605844	0.0135380296901703	precentral (97.43%, 24.06%)	superiorfrontal (2.57%, 0.57%)	NA
sex	6	1719	2.42475795865127	-0.0569400427697217	0.0110085889206221	superiorfrontal (64.81%, 9.38%)	rostralanteriorcingulate (26.24%, 42.91%)	medialorbitofrontal (7.68%, 4.71%)
sex	7	1249	2.50909497195502	0.0597954933032739	0.0140546143705173	inferiortemporal (73.74%, 21.94%)	middletemporal (25.94%, 6.41%)	fusiform (0.32%, 0.09%)
sex	8	1499	2.44136689080675	0.0464333094919897	0.0116571512736822	superiorparietal (100%, 14.66%)	NA	NA
sex	9	1460	2.45449400132304	-0.049671132057548	0.00973985163903195	posteriorcingulate (72.26%, 35.24%)	paracentral (27.47%, 10.47%)	isthmuscingulate (0.21%, 0.13%)
sex	10	1161	2.42590278759566	-0.0598463358359153	0.0100183414538374	medialorbitofrontal (61.93%, 25.67%)	lateralorbitofrontal (38.07%, 10.15%)	NA
sex	11	788	2.46561628053781	-0.069178112801448	0.016113643599485	inferiortemporal (64.72%, 12.15%)	middletemporal (35.28%, 5.50%)	NA
sex	12	1119	2.35266075715412	0.0436113350496189	0.0106321707853949	paracentral (70.42%, 20.57%)	precuneus (19.03%, 2.67%)	postcentral (7.95%, 0.97%)
sex	13	552	2.39030955965902	0.0527083240516916	0.0112564977025613	parsorbitalis (88.77%, 51.80%)	rostralmiddlefrontal (11.23%, 0.79%)	NA
sex	14	927	2.43061392515795	-0.073729111743687	0.0143448078749699	lingual (66.88%, 15.92%)	isthmuscingulate (28.16%, 10.93%)	parahippocampal (4.53%, 2.41%)
sex	15	783	2.4183211269252	-0.0484137351090614	0.00964972162488396	precuneus (83.65%, 8.21%)	isthmuscingulate (16.35%, 5.36%)	NA
sex	16	594	2.38673355727911	0.0463835937268907	0.0110195307045397	superiorparietal (100%, 5.81%)	NA	NA
sex	17	358	2.50423446510509	0.0543787137672888	0.0133864365793848	lingual (99.72%, 9.17%)	fusiform (0.28%, 0.02%)	NA
sex	18	588	2.41159422079812	0.0838284546281306	0.0166882965507835	parahippocampal (67.35%, 22.73%)	entorhinal (16.84%, 10.98%)	fusiform (15.82%, 2.00%)
sex	19	446	2.51234271083166	-0.0363420439140679	0.00806741527231586	rostralmiddlefrontal (100%, 5.67%)	NA	NA
sex	20	793	2.49470098043472	0.0551224909816759	0.0136832963806797	postcentral (79.07%, 6.86%)	supramarginal (20.93%, 2.04%)	NA
sex	21	389	2.44155859700521	0.0417671934689532	0.010676465557462	superiorfrontal (91.52%, 3.00%)	frontalpole (8.48%, 8.94%)	NA
sex	22	238	2.34886455699517	-0.0352891510305535	0.00957313217927052	middletemporal (100%, 4.71%)	NA	NA
sex	23	327	2.41733727377469	-0.0373338277050115	0.00922390310498188	rostralmiddlefrontal (100%, 4.16%)	NA	NA
bmi	1	324	2.53927878222136	0.00515732223047288	0.0013232555849058	lingual (69.14%, 5.75%)	pericalcarine (30.86%, 5.49%)	NA
ethnicity_group	1	7045	2.46125145705979	-0.0686813371244096	0.0150307862819129	lateraloccipital (30.15%, 35.62%)	lingual (23.69%, 42.86%)	cuneus (12.35%, 53.11%)
ethnicity_group	2	1799	2.41709345781842	-0.0536348448943071	0.0135978103898519	supramarginal (68.87%, 15.20%)	postcentral (31.13%, 6.13%)	NA
ethnicity_group	3	1625	2.50254061449311	-0.0510024032592773	0.0127108399455364	superiortemporal (66.4%, 15.71%)	transversetemporal (33.6%, 69.91%)	NA
ethnicity_group	4	809	2.58261440104451	-0.0480723269836349	0.0125997963652696	lateraloccipital (48.21%, 6.54%)	inferiortemporal (38.44%, 7.41%)	inferiorparietal (13.35%, 1.12%)
